"Taxa";"Baetis";"Ecdyonurus";"Elmis";"Hydropsyche";"Leuctra";"Protonemura";"Rhithrogena";"Rhyacophila";"Chironomidae";"Empididae";"Limnephilidae";"Limoniidae";"Oligochaeta";"Simuliidae"
"Baetis";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Ecdyonurus";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Elmis";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Hydropsyche";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Leuctra";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Protonemura";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Rhithrogena";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Rhyacophila";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8"
"Chironomidae";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Empididae";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"-0.8";"0";"-0.8";"0";"-0.8";"-0.8";"-0.8";"-0.8"
"Limnephilidae";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Limoniidae";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Oligochaeta";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Simuliidae";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
